GenBank_id;country
AP008388.1;Japan
AP008389.1;Japan
AP008390.1;Japan
AP008391.1;Japan
AP008392.1;Japan
AP008393.1;Japan
AP008394.1;Japan
AP008395.1;Japan
AP008396.1;Japan
AP008397.1;Japan
AP008398.1;Japan
AP008399.1;Japan
AP008400.1;Japan
AP008401.1;Japan
AP008402.1;Japan
AP008403.1;Japan
AP008404.1;Japan
AP008405.1;Japan
AP008406.1;Japan
AP008407.1;Japan
AP008408.1;Japan
AP008409.1;Japan
AP008410.1;Japan
AP008411.1;Japan
AP008412.1;Japan
AP008413.1;Japan
AP008414.1;Japan
AP008415.1;Japan
AP008416.1;Japan
AP008417.1;Japan
AP008418.1;Japan
AP008419.1;Japan
AP008420.1;Japan
AP008421.1;Japan
AP008422.1;Japan
AP008423.1;Japan
AP008424.1;Japan
AP008425.1;Japan
AP008426.1;Japan
AP008427.1;Japan
AP008428.1;Japan
AP008429.1;Japan
AP008430.1;Japan
AP008431.1;Japan
AP008432.1;Japan
AP008433.1;Japan
AP008434.1;Japan
AP008435.1;Japan
AP008436.1;Japan
AP008437.1;Japan
AP008438.1;Japan
AP008439.1;Japan
AP008440.1;Japan
AP008441.1;Japan
AP008442.1;Japan
AP008443.1;Japan
AP008444.1;Japan
AP008445.1;Japan
AP008446.1;Japan
AP008447.1;Japan
AP008448.1;Japan
AP008449.1;Japan
AP008450.1;Japan
AP008451.1;Japan
AP008452.1;Japan
AP008453.1;Japan
AP008454.1;Japan
AP008455.1;Japan
AP008456.1;Japan
AP008457.1;Japan
AP008458.1;Japan
AP008459.1;Japan
AP008460.1;Japan
AP008461.1;Japan
AP008462.1;Japan
AP008463.1;Japan
AP008464.1;Japan
AP008465.1;Japan
AP008466.1;Japan
AP008467.1;Japan
AP008468.1;Japan
AP008469.1;Japan
AP008470.1;Japan
AP008471.1;Japan
AP008472.1;Japan
AP008473.1;Japan
AP008474.1;Japan
AP008475.1;Japan
AP008476.1;Japan
AP008477.1;Japan
AP008478.1;Japan
AP008479.1;Japan
AP008480.1;Japan
AP008481.1;Japan
AP008482.1;Japan
AP008483.1;Japan
AP008484.1;Japan
AP008485.1;Japan
AP008486.1;Japan
AP008487.1;Japan
AP008488.1;Japan
AP008489.1;Japan
AP008490.1;Japan
AP008491.1;Japan
AP008492.1;Japan
AP008493.1;Japan
AP008494.1;Japan
AP008495.1;Japan
AP008496.1;Japan
AP008497.1;Japan
AP008498.1;Japan
AP008499.1;Japan
AP008500.1;Japan
AP008501.1;Japan
AP008502.1;Japan
AP008503.1;Japan
AP008504.1;Japan
AP008505.1;Japan
AP008506.1;Japan
AP008507.1;Japan
AP008508.1;Japan
AP008509.1;Japan
AP008510.1;Japan
AP008511.1;Japan
AP008512.1;Japan
AP008513.1;Japan
AP008514.1;Japan
AP008515.1;Japan
AP008516.1;Japan
AP008517.1;Japan
AP008518.1;Japan
AP008519.1;Japan
AP008520.1;Japan
AP008521.1;Japan
AP008522.1;Japan
AP008523.1;Japan
AP008524.1;Japan
AP008525.1;Japan
AP008526.1;Japan
AP008527.1;Japan
AP008528.1;Japan
AP008529.1;Japan
AP008530.1;Japan
AP008531.1;Japan
AP008532.1;Japan
AP008533.1;Japan
AP008534.1;Japan
AP008535.1;Japan
AP008536.1;Japan
AP008537.1;Japan
AP008538.1;Japan
AP008539.1;Japan
AP008540.1;Japan
AP008541.1;Japan
AP008542.1;Japan
AP008543.1;Japan
AP008544.1;Japan
AP008545.1;Japan
AP008546.1;Japan
AP008547.1;Japan
AP008548.1;Japan
AP008549.1;Japan
AP008550.1;Japan
AP008551.1;Japan
AP008552.1;Japan
AP008553.1;Japan
AP008554.1;Japan
AP008555.1;Japan
AP008556.1;Japan
AP008557.1;Japan
AP008558.1;Japan
AP008559.1;Japan
AP008560.1;Japan
AP008561.1;Japan
AP008562.1;Japan
AP008563.1;Japan
AP008564.1;Japan
AP008565.1;Japan
AP008566.1;Japan
AP008567.1;Japan
AP008568.1;Japan
AP008569.1;Japan
AP008570.1;Japan
AP008571.1;Japan
AP008572.1;Japan
AP008573.1;Japan
AP008574.1;Japan
AP008575.1;Japan
AP008576.1;Japan
AP008577.1;Japan
AP008578.1;Japan
AP008579.1;Japan
AP008580.1;Japan
AP008581.1;Japan
AP008582.1;Japan
AP008583.1;Japan
AP008584.1;Japan
AP008585.1;Japan
AP008586.1;Japan
AP008587.1;Japan
AP008588.1;Japan
AP008589.1;Japan
AP008590.1;Japan
AP008591.1;Japan
AP008592.1;Japan
AP008593.1;Japan
AP008594.1;Japan
AP008595.1;Japan
AP008596.1;Japan
AP008597.1;Japan
AP008598.1;Japan
AP008599.1;Japan
AP008600.1;Japan
AP008601.1;Japan
AP008602.1;Japan
AP008603.1;Japan
AP008604.1;Japan
AP008605.1;Japan
AP008606.1;Japan
AP008607.1;Japan
AP008608.1;Japan
AP008609.1;Japan
AP008610.1;Japan
AP008611.1;Japan
AP008612.1;Japan
AP008613.1;Japan
AP008614.1;Japan
AP008615.1;Japan
AP008616.1;Japan
AP008617.1;Japan
AP008618.1;Japan
AP008619.1;Japan
AP008620.1;Japan
AP008621.1;Japan
AP008622.1;Japan
AP008623.1;Japan
AP008624.1;Japan
AP008625.1;Japan
AP008626.1;Japan
AP008627.1;Japan
AP008628.1;Japan
AP008629.1;Japan
AP008630.1;Japan
AP008631.1;Japan
AP008632.1;Japan
AP008633.1;Japan
AP008634.1;Japan
