accession_number,technology,assembly
"ON155560.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155559.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155558.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155557.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155556.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155555.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155554.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155553.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"KY409156.1","Illumina","BWA v. 0.5.9"
"KY409155.1","Illumina","BWA v. 0.5.9"
"KY409154.1","Illumina","BWA v. 0.5.9"
"KY409153.1","Illumina","BWA v. 0.5.9"
"KY409152.1","Illumina","BWA v. 0.5.9"
"KY409151.1","Illumina","BWA v. 0.5.9"
"KY409150.1","Illumina","BWA v. 0.5.9"
"KY409149.1","Illumina","BWA v. 0.5.9"
"KY409148.1","Illumina","BWA v. 0.5.9"
"KY409147.1","Illumina","BWA v. 0.5.9"
"KY409146.1","Illumina","BWA v. 0.5.9"
"KY409145.1","Illumina","BWA v. 0.5.9"
"KY409144.1","Illumina","BWA v. 0.5.9"
"KY409143.1","Illumina","BWA v. 0.5.9"
"KY409142.1","Illumina","BWA v. 0.5.9"
"KY409141.1","Illumina","BWA v. 0.5.9"
"KY409140.1","Illumina","BWA v. 0.5.9"
"KY409139.1","Illumina","BWA v. 0.5.9"
"KY409138.1","Illumina","BWA v. 0.5.9"
"KY409137.1","Illumina","BWA v. 0.5.9"
"KY409136.1","Illumina","BWA v. 0.5.9"
"KY409135.1","Illumina","BWA v. 0.5.9"
"KY409134.1","Illumina","BWA v. 0.5.9"
"KY409133.1","Illumina","BWA v. 0.5.9"
"KY409132.1","Illumina","BWA v. 0.5.9"
"KY409131.1","Illumina","BWA v. 0.5.9"
"KY409130.1","Illumina","BWA v. 0.5.9"
"KY409129.1","Illumina","BWA v. 0.5.9"
"KY409128.1","Illumina","BWA v. 0.5.9"
"KY409127.1","Illumina","BWA v. 0.5.9"
"KY409126.1","Illumina","BWA v. 0.5.9"
"KY409125.1","Illumina","BWA v. 0.5.9"
"KY409124.1","Illumina","BWA v. 0.5.9"
"KY409123.1","Illumina","BWA v. 0.5.9"
"KY409122.1","Illumina","BWA v. 0.5.9"
"KY409121.1","Illumina","BWA v. 0.5.9"
"KY409120.1","Illumina","BWA v. 0.5.9"
"KY409119.1","Illumina","BWA v. 0.5.9"
"KY409118.1","Illumina","BWA v. 0.5.9"
"KY409117.1","Illumina","BWA v. 0.5.9"
"KY409116.1","Illumina","BWA v. 0.5.9"
"KY409115.1","Illumina","BWA v. 0.5.9"
"KY409114.1","Illumina","BWA v. 0.5.9"
"KY409113.1","Illumina","BWA v. 0.5.9"
"KY409112.1","Illumina","BWA v. 0.5.9"
"KY409111.1","Illumina","BWA v. 0.5.9"
"KY409110.1","Illumina","BWA v. 0.5.9"
"KY409109.1","Illumina","BWA v. 0.5.9"
"KY409108.1","Illumina","BWA v. 0.5.9"
"KY409107.1","Illumina","BWA v. 0.5.9"
"KY409106.1","Illumina","BWA v. 0.5.9"
"KY409105.1","Illumina","BWA v. 0.5.9"
"KY409104.1","Illumina","BWA v. 0.5.9"
"KY409103.1","Illumina","BWA v. 0.5.9"
"KY409102.1","Illumina","BWA v. 0.5.9"
"KY409101.1","Illumina","BWA v. 0.5.9"
"KY409100.1","Illumina","BWA v. 0.5.9"
"KY409099.1","Illumina","BWA v. 0.5.9"
"KY409098.1","Illumina","BWA v. 0.5.9"
"KY409097.1","Illumina","BWA v. 0.5.9"
"KY409096.1","Illumina","BWA v. 0.5.9"
"KY409095.1","Illumina","BWA v. 0.5.9"
"KY409094.1","Illumina","BWA v. 0.5.9"
"KY409093.1","Illumina","BWA v. 0.5.9"
"KY409092.1","Illumina","BWA v. 0.5.9"
"KY409091.1","Illumina","BWA v. 0.5.9"
"KY409090.1","Illumina","BWA v. 0.5.9"
"KY409089.1","Illumina","BWA v. 0.5.9"
"KY409088.1","Illumina","BWA v. 0.5.9"
"KY409087.1","Illumina","BWA v. 0.5.9"
"KY409086.1","Illumina","BWA v. 0.5.9"
"KY409085.1","Illumina","BWA v. 0.5.9"
"KY409084.1","Illumina","BWA v. 0.5.9"
"KY409083.1","Illumina","BWA v. 0.5.9"
"KY409082.1","Illumina","BWA v. 0.5.9"
"KY409081.1","Illumina","BWA v. 0.5.9"
"KY409080.1","Illumina","BWA v. 0.5.9"
"KY409079.1","Illumina","BWA v. 0.5.9"
"KY409078.1","Illumina","BWA v. 0.5.9"
"KY409077.1","Illumina","BWA v. 0.5.9"
"KY409076.1","Illumina","BWA v. 0.5.9"
"KY409075.1","Illumina","BWA v. 0.5.9"
"KY409074.1","Illumina","BWA v. 0.5.9"
"KY409073.1","Illumina","BWA v. 0.5.9"
"KY409072.1","Illumina","BWA v. 0.5.9"
"KY409071.1","Illumina","BWA v. 0.5.9"
"KY409070.1","Illumina","BWA v. 0.5.9"
"KY409069.1","Illumina","BWA v. 0.5.9"
"KY409068.1","Illumina","BWA v. 0.5.9"
"KY409067.1","Illumina","BWA v. 0.5.9"
"KY409066.1","Illumina","BWA v. 0.5.9"
"KY409065.1","Illumina","BWA v. 0.5.9"
"KY409064.1","Illumina","BWA v. 0.5.9"
"KY409063.1","Illumina","BWA v. 0.5.9"
"KY409062.1","Illumina","BWA v. 0.5.9"
"KY409061.1","Illumina","BWA v. 0.5.9"
"KY409060.1","Illumina","BWA v. 0.5.9"
"KY409059.1","Illumina","BWA v. 0.5.9"
"KY409058.1","Illumina","BWA v. 0.5.9"
"KY409057.1","Illumina","BWA v. 0.5.9"
"KY409056.1","Illumina","BWA v. 0.5.9"
"KY409055.1","Illumina","BWA v. 0.5.9"
"KY409054.1","Illumina","BWA v. 0.5.9"
"KY409053.1","Illumina","BWA v. 0.5.9"
"KY409052.1","Illumina","BWA v. 0.5.9"
"KY409051.1","Illumina","BWA v. 0.5.9"
"KY409050.1","Illumina","BWA v. 0.5.9"
"KY409049.1","Illumina","BWA v. 0.5.9"
"KY409048.1","Illumina","BWA v. 0.5.9"
"KY409047.1","Illumina","BWA v. 0.5.9"
"KY409046.1","Illumina","BWA v. 0.5.9"
"KY409045.1","Illumina","BWA v. 0.5.9"
"KY409044.1","Illumina","BWA v. 0.5.9"
"KY409043.1","Illumina","BWA v. 0.5.9"
"KY409042.1","Illumina","BWA v. 0.5.9"
"KY409041.1","Illumina","BWA v. 0.5.9"
"KY409040.1","Illumina","BWA v. 0.5.9"
"KY409039.1","Illumina","BWA v. 0.5.9"
"KY409038.1","Illumina","BWA v. 0.5.9"
"KY409037.1","Illumina","BWA v. 0.5.9"
"KY409036.1","Illumina","BWA v. 0.5.9"
"KY409035.1","Illumina","BWA v. 0.5.9"
"KY409034.1","Illumina","BWA v. 0.5.9"
"KY409033.1","Illumina","BWA v. 0.5.9"
"KY409032.1","Illumina","BWA v. 0.5.9"
"KY409031.1","Illumina","BWA v. 0.5.9"
"KY409030.1","Illumina","BWA v. 0.5.9"
"KY409029.1","Illumina","BWA v. 0.5.9"
"KY409028.1","Illumina","BWA v. 0.5.9"
"KY409027.1","Illumina","BWA v. 0.5.9"
"KY409026.1","Illumina","BWA v. 0.5.9"
"KY409025.1","Illumina","BWA v. 0.5.9"
"KY409024.1","Illumina","BWA v. 0.5.9"
"KY409023.1","Illumina","BWA v. 0.5.9"
"KY409022.1","Illumina","BWA v. 0.5.9"
"KY409021.1","Illumina","BWA v. 0.5.9"
"KY409020.1","Illumina","BWA v. 0.5.9"
"KY409019.1","Illumina","BWA v. 0.5.9"
"KY409018.1","Illumina","BWA v. 0.5.9"
"KY409017.1","Illumina","BWA v. 0.5.9"
"KY409016.1","Illumina","BWA v. 0.5.9"
"KY409015.1","Illumina","BWA v. 0.5.9"
"KY409014.1","Illumina","BWA v. 0.5.9"
"KY409013.1","Illumina","BWA v. 0.5.9"
"KY409012.1","Illumina","BWA v. 0.5.9"
"KY409011.1","Illumina","BWA v. 0.5.9"
"KY409010.1","Illumina","BWA v. 0.5.9"
"KY409009.1","Illumina","BWA v. 0.5.9"
"KY409008.1","Illumina","BWA v. 0.5.9"
"KY409007.1","Illumina","BWA v. 0.5.9"
"KY409006.1","Illumina","BWA v. 0.5.9"
"KY409005.1","Illumina","BWA v. 0.5.9"
"KY409004.1","Illumina","BWA v. 0.5.9"
"KY409003.1","Illumina","BWA v. 0.5.9"
"KY409002.1","Illumina","BWA v. 0.5.9"
"KY409001.1","Illumina","BWA v. 0.5.9"
"KY409000.1","Illumina","BWA v. 0.5.9"
"KY408999.1","Illumina","BWA v. 0.5.9"
"KY408998.1","Illumina","BWA v. 0.5.9"
"KY408997.1","Illumina","BWA v. 0.5.9"
"KY408996.1","Illumina","BWA v. 0.5.9"
"KY408995.1","Illumina","BWA v. 0.5.9"
"KY408994.1","Illumina","BWA v. 0.5.9"
"KY408993.1","Illumina","BWA v. 0.5.9"
"KY408992.1","Illumina","BWA v. 0.5.9"
"KY408991.1","Illumina","BWA v. 0.5.9"
"KY408990.1","Illumina","BWA v. 0.5.9"
"KY408989.1","Illumina","BWA v. 0.5.9"
"KY408988.1","Illumina","BWA v. 0.5.9"
"KY408987.1","Illumina","BWA v. 0.5.9"
"KY408986.1","Illumina","BWA v. 0.5.9"
"KY408985.1","Illumina","BWA v. 0.5.9"
"KY408984.1","Illumina","BWA v. 0.5.9"
"KY408983.1","Illumina","BWA v. 0.5.9"
"KY408982.1","Illumina","BWA v. 0.5.9"
"KY408981.1","Illumina","BWA v. 0.5.9"
"KY408980.1","Illumina","BWA v. 0.5.9"
"KY408979.1","Illumina","BWA v. 0.5.9"
"KY408978.1","Illumina","BWA v. 0.5.9"
"KY408977.1","Illumina","BWA v. 0.5.9"
"KY408976.1","Illumina","BWA v. 0.5.9"
"KY408975.1","Illumina","BWA v. 0.5.9"
"KY408974.1","Illumina","BWA v. 0.5.9"
"KY408973.1","Illumina","BWA v. 0.5.9"
"KY408972.1","Illumina","BWA v. 0.5.9"
"KY408971.1","Illumina","BWA v. 0.5.9"
"KY408970.1","Illumina","BWA v. 0.5.9"
"KY408969.1","Illumina","BWA v. 0.5.9"
"KY408968.1","Illumina","BWA v. 0.5.9"
"KY408967.1","Illumina","BWA v. 0.5.9"
"KY408966.1","Illumina","BWA v. 0.5.9"
"KY408965.1","Illumina","BWA v. 0.5.9"
"KY408964.1","Illumina","BWA v. 0.5.9"
"KY408963.1","Illumina","BWA v. 0.5.9"
"KY408962.1","Illumina","BWA v. 0.5.9"
"KY408961.1","Illumina","BWA v. 0.5.9"
"KY408960.1","Illumina","BWA v. 0.5.9"
"KY408959.1","Illumina","BWA v. 0.5.9"
"KY408958.1","Illumina","BWA v. 0.5.9"
"KY408957.1","Illumina","BWA v. 0.5.9"
"ON155552.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155551.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155550.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155549.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155548.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155547.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155546.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155545.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155544.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155543.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155542.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155541.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155540.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155539.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155538.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155537.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155536.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155535.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155533.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"KY408956.1","Illumina","BWA v. 0.5.9"
"KY408955.1","Illumina","BWA v. 0.5.9"
"KY408954.1","Illumina","BWA v. 0.5.9"
"KY408952.1","Illumina","BWA v. 0.5.9"
"KY408950.1","Illumina","BWA v. 0.5.9"
"KY408949.1","Illumina","BWA v. 0.5.9"
"KY408948.1","Illumina","BWA v. 0.5.9"
"KY408947.1","Illumina","BWA v. 0.5.9"
"KY408946.1","Illumina","BWA v. 0.5.9"
"KY408944.1","Illumina","BWA v. 0.5.9"
"KY408943.1","Illumina","BWA v. 0.5.9"
"KY408942.1","Illumina","BWA v. 0.5.9"
"KY408941.1","Illumina","BWA v. 0.5.9"
"KY408939.1","Illumina","BWA v. 0.5.9"
"KY408938.1","Illumina","BWA v. 0.5.9"
"KY408937.1","Illumina","BWA v. 0.5.9"
"KY408936.1","Illumina","BWA v. 0.5.9"
"KY408935.1","Illumina","BWA v. 0.5.9"
"KY408934.1","Illumina","BWA v. 0.5.9"
"KY408933.1","Illumina","BWA v. 0.5.9"
"KY408931.1","Illumina","BWA v. 0.5.9"
"KY408929.1","Illumina","BWA v. 0.5.9"
"KY408928.1","Illumina","BWA v. 0.5.9"
"KY408927.1","Illumina","BWA v. 0.5.9"
"KY408926.1","Illumina","BWA v. 0.5.9"
"KY408925.1","Illumina","BWA v. 0.5.9"
"KY408923.1","Illumina","BWA v. 0.5.9"
"KY408921.1","Illumina","BWA v. 0.5.9"
"KY408919.1","Illumina","BWA v. 0.5.9"
"KY408918.1","Illumina","BWA v. 0.5.9"
"KY408917.1","Illumina","BWA v. 0.5.9"
"KY408916.1","Illumina","BWA v. 0.5.9"
"KY408915.1","Illumina","BWA v. 0.5.9"
"KY408914.1","Illumina","BWA v. 0.5.9"
"KY408913.1","Illumina","BWA v. 0.5.9"
"KY408912.1","Illumina","BWA v. 0.5.9"
"KY408910.1","Illumina","BWA v. 0.5.9"
"KY408908.1","Illumina","BWA v. 0.5.9"
"KY408907.1","Illumina","BWA v. 0.5.9"
"KY408906.1","Illumina","BWA v. 0.5.9"
"KY408905.1","Illumina","BWA v. 0.5.9"
"KY408904.1","Illumina","BWA v. 0.5.9"
"KY408900.1","Illumina","BWA v. 0.5.9"
"KY408898.1","Illumina","BWA v. 0.5.9"
"KY408897.1","Illumina","BWA v. 0.5.9"
"KY408896.1","Illumina","BWA v. 0.5.9"
"KY408895.1","Illumina","BWA v. 0.5.9"
"KY408894.1","Illumina","BWA v. 0.5.9"
"KY408893.1","Illumina","BWA v. 0.5.9"
"KY408892.1","Illumina","BWA v. 0.5.9"
"KY408891.1","Illumina","BWA v. 0.5.9"
"KY408890.1","Illumina","BWA v. 0.5.9"
"KY408889.1","Illumina","BWA v. 0.5.9"
"KY408888.1","Illumina","BWA v. 0.5.9"
"KY408887.1","Illumina","BWA v. 0.5.9"
"KY408886.1","Illumina","BWA v. 0.5.9"
"KY408885.1","Illumina","BWA v. 0.5.9"
"KY408884.1","Illumina","BWA v. 0.5.9"
"KY408883.1","Illumina","BWA v. 0.5.9"
"KY408882.1","Illumina","BWA v. 0.5.9"
"KY408881.1","Illumina","BWA v. 0.5.9"
"KY408880.1","Illumina","BWA v. 0.5.9"
"KY408879.1","Illumina","BWA v. 0.5.9"
"KY408878.1","Illumina","BWA v. 0.5.9"
"KY408876.1","Illumina","BWA v. 0.5.9"
"KY408875.1","Illumina","BWA v. 0.5.9"
"KY408874.1","Illumina","BWA v. 0.5.9"
"KY408872.1","Illumina","BWA v. 0.5.9"
"KY408871.1","Illumina","BWA v. 0.5.9"
"KY408870.1","Illumina","BWA v. 0.5.9"
"KY408869.1","Illumina","BWA v. 0.5.9"
"KY408867.1","Illumina","BWA v. 0.5.9"
"KY408866.1","Illumina","BWA v. 0.5.9"
"KY408865.1","Illumina","BWA v. 0.5.9"
"KY408863.1","Illumina","BWA v. 0.5.9"
"KY408862.1","Illumina","BWA v. 0.5.9"
"KY408861.1","Illumina","BWA v. 0.5.9"
"KY408860.1","Illumina","BWA v. 0.5.9"
"KY408859.1","Illumina","BWA v. 0.5.9"
"KY408858.1","Illumina","BWA v. 0.5.9"
"KY408857.1","Illumina","BWA v. 0.5.9"
"KY408856.1","Illumina","BWA v. 0.5.9"
"KY408855.1","Illumina","BWA v. 0.5.9"
"KY408854.1","Illumina","BWA v. 0.5.9"
"KY408853.1","Illumina","BWA v. 0.5.9"
"KY408852.1","Illumina","BWA v. 0.5.9"
"KY408851.1","Illumina","BWA v. 0.5.9"
"KY408850.1","Illumina","BWA v. 0.5.9"
"KY408849.1","Illumina","BWA v. 0.5.9"
"KY408848.1","Illumina","BWA v. 0.5.9"
"KY408847.1","Illumina","BWA v. 0.5.9"
"KY408846.1","Illumina","BWA v. 0.5.9"
"KY408845.1","Illumina","BWA v. 0.5.9"
"KY408844.1","Illumina","BWA v. 0.5.9"
"KY408843.1","Illumina","BWA v. 0.5.9"
"KY408842.1","Illumina","BWA v. 0.5.9"
"KY408841.1","Illumina","BWA v. 0.5.9"
"KY408840.1","Illumina","BWA v. 0.5.9"
"KY408839.1","Illumina","BWA v. 0.5.9"
"KY408838.1","Illumina","BWA v. 0.5.9"
"KY408837.1","Illumina","BWA v. 0.5.9"
"KY408836.1","Illumina","BWA v. 0.5.9"
"KY408835.1","Illumina","BWA v. 0.5.9"
"KY408834.1","Illumina","BWA v. 0.5.9"
"KY408833.1","Illumina","BWA v. 0.5.9"
"KY408832.1","Illumina","BWA v. 0.5.9"
"KY408831.1","Illumina","BWA v. 0.5.9"
"KY408830.1","Illumina","BWA v. 0.5.9"
"KY408829.1","Illumina","BWA v. 0.5.9"
"KY408828.1","Illumina","BWA v. 0.5.9"
"KY408827.1","Illumina","BWA v. 0.5.9"
"KY408826.1","Illumina","BWA v. 0.5.9"
"KY408825.1","Illumina","BWA v. 0.5.9"
"KY408824.1","Illumina","BWA v. 0.5.9"
"KY408823.1","Illumina","BWA v. 0.5.9"
"KY408822.1","Illumina","BWA v. 0.5.9"
"KY408821.1","Illumina","BWA v. 0.5.9"
"KY408820.1","Illumina","BWA v. 0.5.9"
"KY408819.1","Illumina","BWA v. 0.5.9"
"KY408818.1","Illumina","BWA v. 0.5.9"
"KY408817.1","Illumina","BWA v. 0.5.9"
"KY408816.1","Illumina","BWA v. 0.5.9"
"KY408815.1","Illumina","BWA v. 0.5.9"
"KY408814.1","Illumina","BWA v. 0.5.9"
"KY408813.1","Illumina","BWA v. 0.5.9"
"KY408812.1","Illumina","BWA v. 0.5.9"
"KY408811.1","Illumina","BWA v. 0.5.9"
"KY408810.1","Illumina","BWA v. 0.5.9"
"KY408809.1","Illumina","BWA v. 0.5.9"
"KY408808.1","Illumina","BWA v. 0.5.9"
"KY408807.1","Illumina","BWA v. 0.5.9"
"KY408806.1","Illumina","BWA v. 0.5.9"
"KY408805.1","Illumina","BWA v. 0.5.9"
"KY408804.1","Illumina","BWA v. 0.5.9"
"KY408803.1","Illumina","BWA v. 0.5.9"
"KY408802.1","Illumina","BWA v. 0.5.9"
"KY408801.1","Illumina","BWA v. 0.5.9"
"KY408800.1","Illumina","BWA v. 0.5.9"
"KY408799.1","Illumina","BWA v. 0.5.9"
"KY408798.1","Illumina","BWA v. 0.5.9"
"KY408797.1","Illumina","BWA v. 0.5.9"
"KY408796.1","Illumina","BWA v. 0.5.9"
"KY408795.1","Illumina","BWA v. 0.5.9"
"KY408794.1","Illumina","BWA v. 0.5.9"
"KY408793.1","Illumina","BWA v. 0.5.9"
"KY408792.1","Illumina","BWA v. 0.5.9"
"KY408791.1","Illumina","BWA v. 0.5.9"
"KY408790.1","Illumina","BWA v. 0.5.9"
"KY408789.1","Illumina","BWA v. 0.5.9"
"KY408788.1","Illumina","BWA v. 0.5.9"
"KY408787.1","Illumina","BWA v. 0.5.9"
"KY408786.1","Illumina","BWA v. 0.5.9"
"KY408785.1","Illumina","BWA v. 0.5.9"
"KY408784.1","Illumina","BWA v. 0.5.9"
"KY408783.1","Illumina","BWA v. 0.5.9"
"KY408782.1","Illumina","BWA v. 0.5.9"
"KY408781.1","Illumina","BWA v. 0.5.9"
"KY408780.1","Illumina","BWA v. 0.5.9"
"KY408779.1","Illumina","BWA v. 0.5.9"
"KY408778.1","Illumina","BWA v. 0.5.9"
"KY408777.1","Illumina","BWA v. 0.5.9"
"KY408776.1","Illumina","BWA v. 0.5.9"
"KY408775.1","Illumina","BWA v. 0.5.9"
"KY408774.1","Illumina","BWA v. 0.5.9"
"KY408773.1","Illumina","BWA v. 0.5.9"
"KY408772.1","Illumina","BWA v. 0.5.9"
"KY408771.1","Illumina","BWA v. 0.5.9"
"KY408770.1","Illumina","BWA v. 0.5.9"
"KY408769.1","Illumina","BWA v. 0.5.9"
"KY408768.1","Illumina","BWA v. 0.5.9"
"KY408767.1","Illumina","BWA v. 0.5.9"
"KY408766.1","Illumina","BWA v. 0.5.9"
"KY408765.1","Illumina","BWA v. 0.5.9"
"KY408764.1","Illumina","BWA v. 0.5.9"
"KY408763.1","Illumina","BWA v. 0.5.9"
"KY408762.1","Illumina","BWA v. 0.5.9"
"KY408761.1","Illumina","BWA v. 0.5.9"
"KY408760.1","Illumina","BWA v. 0.5.9"
"KY408759.1","Illumina","BWA v. 0.5.9"
"KY408758.1","Illumina","BWA v. 0.5.9"
"KY408757.1","Illumina","BWA v. 0.5.9"
"ON155515.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155514.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"ON155513.1","Illumina","BWA v. 0.7.15; GATK Haplotype Caller v."
"KY408756.1","Illumina","BWA v. 0.5.9"
"KY408755.1","Illumina","BWA v. 0.5.9"
"KY408754.1","Illumina","BWA v. 0.5.9"
"KY408753.1","Illumina","BWA v. 0.5.9"
"KY408752.1","Illumina","BWA v. 0.5.9"
"KY408751.1","Illumina","BWA v. 0.5.9"
"KY408750.1","Illumina","BWA v. 0.5.9"
"KY408749.1","Illumina","BWA v. 0.5.9"
"KY408748.1","Illumina","BWA v. 0.5.9"
"KY408747.1","Illumina","BWA v. 0.5.9"
"KY408746.1","Illumina","BWA v. 0.5.9"
"KY408745.1","Illumina","BWA v. 0.5.9"
"KY408744.1","Illumina","BWA v. 0.5.9"
"KY408743.1","Illumina","BWA v. 0.5.9"
"KY408742.1","Illumina","BWA v. 0.5.9"
"KY408741.1","Illumina","BWA v. 0.5.9"
"KY408740.1","Illumina","BWA v. 0.5.9"
"KY408739.1","Illumina","BWA v. 0.5.9"
"KY408738.1","Illumina","BWA v. 0.5.9"
"KY408737.1","Illumina","BWA v. 0.5.9"
"KY408736.1","Illumina","BWA v. 0.5.9"
"KY408735.1","Illumina","BWA v. 0.5.9"
"KY408734.1","Illumina","BWA v. 0.5.9"
"KY408733.1","Illumina","BWA v. 0.5.9"
"KY408732.1","Illumina","BWA v. 0.5.9"
"KY408731.1","Illumina","BWA v. 0.5.9"
"KY408730.1","Illumina","BWA v. 0.5.9"
"KY408729.1","Illumina","BWA v. 0.5.9"
"KY408728.1","Illumina","BWA v. 0.5.9"
"KY408727.1","Illumina","BWA v. 0.5.9"
"KY408726.1","Illumina","BWA v. 0.5.9"
"KY408725.1","Illumina","BWA v. 0.5.9"
"KY408724.1","Illumina","BWA v. 0.5.9"
"KY408723.1","Illumina","BWA v. 0.5.9"
"KY408722.1","Illumina","BWA v. 0.5.9"
"KY408721.1","Illumina","BWA v. 0.5.9"
"KY408720.1","Illumina","BWA v. 0.5.9"
"KY408719.1","Illumina","BWA v. 0.5.9"
"KY408718.1","Illumina","BWA v. 0.5.9"
"KY408717.1","Illumina","BWA v. 0.5.9"
"KY408716.1","Illumina","BWA v. 0.5.9"
"KY408715.1","Illumina","BWA v. 0.5.9"
"KY408714.1","Illumina","BWA v. 0.5.9"
"KY408713.1","Illumina","BWA v. 0.5.9"
"KY408712.1","Illumina","BWA v. 0.5.9"
"KY408711.1","Illumina","BWA v. 0.5.9"
"KY408710.1","Illumina","BWA v. 0.5.9"
"KY408709.1","Illumina","BWA v. 0.5.9"
"KY408708.1","Illumina","BWA v. 0.5.9"
"KY408707.1","Illumina","BWA v. 0.5.9"
"KY408706.1","Illumina","BWA v. 0.5.9"
"KY408705.1","Illumina","BWA v. 0.5.9"
"KY408704.1","Illumina","BWA v. 0.5.9"
"KY408703.1","Illumina","BWA v. 0.5.9"
"KY408702.1","Illumina","BWA v. 0.5.9"
"KY408701.1","Illumina","BWA v. 0.5.9"
"KY408700.1","Illumina","BWA v. 0.5.9"
"KY408699.1","Illumina","BWA v. 0.5.9"
"KY408698.1","Illumina","BWA v. 0.5.9"
"KY408697.1","Illumina","BWA v. 0.5.9"
"KY408696.1","Illumina","BWA v. 0.5.9"
"KY408695.1","Illumina","BWA v. 0.5.9"
"KY408694.1","Illumina","BWA v. 0.5.9"
"KY408693.1","Illumina","BWA v. 0.5.9"
"KY408692.1","Illumina","BWA v. 0.5.9"
"KY408691.1","Illumina","BWA v. 0.5.9"
"KY408690.1","Illumina","BWA v. 0.5.9"
"KY408689.1","Illumina","BWA v. 0.5.9"
"KY408688.1","Illumina","BWA v. 0.5.9"
"KY408687.1","Illumina","BWA v. 0.5.9"
"KY408686.1","Illumina","BWA v. 0.5.9"
"KY408685.1","Illumina","BWA v. 0.5.9"
"KY408684.1","Illumina","BWA v. 0.5.9"
"KY408683.1","Illumina","BWA v. 0.5.9"
"KY408682.1","Illumina","BWA v. 0.5.9"
"KY408681.1","Illumina","BWA v. 0.5.9"
"KY408680.1","Illumina","BWA v. 0.5.9"
"KY408679.1","Illumina","BWA v. 0.5.9"
"KY408678.1","Illumina","BWA v. 0.5.9"
"KY408677.1","Illumina","BWA v. 0.5.9"
"KY408676.1","Illumina","BWA v. 0.5.9"
"KY408675.1","Illumina","BWA v. 0.5.9"
"KY408674.1","Illumina","BWA v. 0.5.9"
"KY408673.1","Illumina","BWA v. 0.5.9"
"KY408672.1","Illumina","BWA v. 0.5.9"
"KY408671.1","Illumina","BWA v. 0.5.9"
"KY408670.1","Illumina","BWA v. 0.5.9"
"KY408669.1","Illumina","BWA v. 0.5.9"
"KY408668.1","Illumina","BWA v. 0.5.9"
"KY408667.1","Illumina","BWA v. 0.5.9"
"KY408666.1","Illumina","BWA v. 0.5.9"
"KY408665.1","Illumina","BWA v. 0.5.9"
"KY408664.1","Illumina","BWA v. 0.5.9"
"KY408663.1","Illumina","BWA v. 0.5.9"
"KY408662.1","Illumina","BWA v. 0.5.9"
"KY408661.1","Illumina","BWA v. 0.5.9"
"KY408660.1","Illumina","BWA v. 0.5.9"
"KY408659.1","Illumina","BWA v. 0.5.9"
"KY408658.1","Illumina","BWA v. 0.5.9"
"KY408657.1","Illumina","BWA v. 0.5.9"
"KY408656.1","Illumina","BWA v. 0.5.9"
"KY408655.1","Illumina","BWA v. 0.5.9"
"KY408654.1","Illumina","BWA v. 0.5.9"
"KY408653.1","Illumina","BWA v. 0.5.9"
"KY408652.1","Illumina","BWA v. 0.5.9"
"KY408651.1","Illumina","BWA v. 0.5.9"
"KY408650.1","Illumina","BWA v. 0.5.9"
"KY408649.1","Illumina","BWA v. 0.5.9"
"KY408648.1","Illumina","BWA v. 0.5.9"
"KY408647.1","Illumina","BWA v. 0.5.9"
"KY408646.1","Illumina","BWA v. 0.5.9"
"KY408645.1","Illumina","BWA v. 0.5.9"
