accession_number,technology,assembly
"MF381375.1","Illumina","BWA v. v0.5.10-evan"
"MF381374.1","Illumina","BWA v. v0.5.10-evan"
"MF381373.1","Illumina","BWA v. v0.5.10-evan"
"MF381372.1","Illumina","BWA v. v0.5.10-evan"
"MF381371.1","Illumina","BWA v. v0.5.10-evan"
"MF381370.1","Illumina","BWA v. v0.5.10-evan"
"MF381369.1","Illumina","BWA v. v0.5.10-evan"
"MF381368.1","Illumina","BWA v. v0.5.10-evan"
"MF381367.1","Illumina","BWA v. v0.5.10-evan"
"MF381365.1","Illumina","BWA v. v0.5.10-evan"
"MF381364.1","Illumina","BWA v. v0.5.10-evan"
"MF381363.1","Illumina","BWA v. v0.5.10-evan"
"MF381362.1","Illumina","BWA v. v0.5.10-evan"
"MF381361.1","Illumina","BWA v. v0.5.10-evan"
"MF381360.1","Illumina","BWA v. v0.5.10-evan"
"MF381359.1","Illumina","BWA v. v0.5.10-evan"
"MF381358.1","Illumina","BWA v. v0.5.10-evan"
"MF381357.1","Illumina","BWA v. v0.5.10-evan"
"MF381356.1","Illumina","BWA v. v0.5.10-evan"
"MF381355.1","Illumina","BWA v. v0.5.10-evan"
"MF381354.1","Illumina","BWA v. v0.5.10-evan"
"MF381353.1","Illumina","BWA v. v0.5.10-evan"
"MF381352.1","Illumina","BWA v. v0.5.10-evan"
"MF381351.1","Illumina","BWA v. v0.5.10-evan"
"MF381350.1","Illumina","BWA v. v0.5.10-evan"
"MF381349.1","Illumina","BWA v. v0.5.10-evan"
"MF381348.1","Illumina","BWA v. v0.5.10-evan"
"MF381347.1","Illumina","BWA v. v0.5.10-evan"
"MF381346.1","Illumina","BWA v. v0.5.10-evan"
"MF381345.1","Illumina","BWA v. v0.5.10-evan"
"MF381344.1","Illumina","BWA v. v0.5.10-evan"
"MF381343.1","Illumina","BWA v. v0.5.10-evan"
"MF381342.1","Illumina","BWA v. v0.5.10-evan"
"MF381341.1","Illumina","BWA v. v0.5.10-evan"
"MF381339.1","Illumina","BWA v. v0.5.10-evan"
"MF381338.1","Illumina","BWA v. v0.5.10-evan"
"MF381337.1","Illumina","BWA v. v0.5.10-evan"
"MF381336.1","Illumina","BWA v. v0.5.10-evan"
"MF381335.1","Illumina","BWA v. v0.5.10-evan"
"MF381334.1","Illumina","BWA v. v0.5.10-evan"
"MF381333.1","Illumina","BWA v. v0.5.10-evan"
"MF381332.1","Illumina","BWA v. v0.5.10-evan"
"MF381331.1","Illumina","BWA v. v0.5.10-evan"
"MF381330.1","Illumina","BWA v. v0.5.10-evan"
"MF381329.1","Illumina","BWA v. v0.5.10-evan"
"MF381328.1","Illumina","BWA v. v0.5.10-evan"
"MF381327.1","Illumina","BWA v. v0.5.10-evan"
"MF381326.1","Illumina","BWA v. v0.5.10-evan"
"MF381325.1","Illumina","BWA v. v0.5.10-evan"
"MF381324.1","Illumina","BWA v. v0.5.10-evan"
"MF381323.1","Illumina","BWA v. v0.5.10-evan"
"MF381322.1","Illumina","BWA v. v0.5.10-evan"
"MF381321.1","Illumina","BWA v. v0.5.10-evan"
"MF381320.1","Illumina","BWA v. v0.5.10-evan"
"MF381319.1","Illumina","BWA v. v0.5.10-evan"
"MF381318.1","Illumina","BWA v. v0.5.10-evan"
"MF381317.1","Illumina","BWA v. v0.5.10-evan"
"MF381316.1","Illumina","BWA v. v0.5.10-evan"
"MF381315.1","Illumina","BWA v. v0.5.10-evan"
"MF381314.1","Illumina","BWA v. v0.5.10-evan"
"MF381313.1","Illumina","BWA v. v0.5.10-evan"
"MF381312.1","Illumina","BWA v. v0.5.10-evan"
"MF381311.1","Illumina","BWA v. v0.5.10-evan"
"MF381310.1","Illumina","BWA v. v0.5.10-evan"
"MF381309.1","Illumina","BWA v. v0.5.10-evan"
"MF381308.1","Illumina","BWA v. v0.5.10-evan"
"MF381307.1","Illumina","BWA v. v0.5.10-evan"
"MF381306.1","Illumina","BWA v. v0.5.10-evan"
"MF381305.1","Illumina","BWA v. v0.5.10-evan"
"MF381304.1","Illumina","BWA v. v0.5.10-evan"
"MF381303.1","Illumina","BWA v. v0.5.10-evan"
"MF381302.1","Illumina","BWA v. v0.5.10-evan"
"MF381301.1","Illumina","BWA v. v0.5.10-evan"
"MF381300.1","Illumina","BWA v. v0.5.10-evan"
"MF381299.1","Illumina","BWA v. v0.5.10-evan"
"MF381298.1","Illumina","BWA v. v0.5.10-evan"
"MF381297.1","Illumina","BWA v. v0.5.10-evan"
"MF381296.1","Illumina","BWA v. v0.5.10-evan"
"MF381295.1","Illumina","BWA v. v0.5.10-evan"
"MF381294.1","Illumina","BWA v. v0.5.10-evan"
"MF381293.1","Illumina","BWA v. v0.5.10-evan"
"MF381292.1","Illumina","BWA v. v0.5.10-evan"
"MF381291.1","Illumina","BWA v. v0.5.10-evan"
"MF381290.1","Illumina","BWA v. v0.5.10-evan"
"MF381289.1","Illumina","BWA v. v0.5.10-evan"
