motif,profiles
L2a1i1,
L2a1q,NA19381
L2a1j,
L2a1k,
L2a1l,
L2a1l1,
L2a1l1a,
L2a1l1a1,
L2a1l1a2,
L2a1l1b,NA20332
L2a1l2,
L2a1l2a,
L2a1l2a1,
L2a1l3,NA18487
L2a1m,
L2a1m1,
L2a1m1a,NA19099
L2a1n,NA19225 NA18519
L2a1o,
L2a1p,NA19239
L2a2'3'4,
L2a2'3,
L2a2,
L2a2a,
L2a2a1,
L2a2b,
L2a2b1,
L2a2b1a,
L2a2b2,
L2a3,
L2a4,
L2a4a,
L2a4b,NA19393 NA19376
L2a5,
L2b'c'd,
L2b'c,
L2b,
L2b1,
L2b1a,
L2b1a2,
L2b1a3,HG01188 NA19984 NA19392 NA19185 NA18522 NA18516
L2b1a4,
L2b1b,NA19209
L2b2,NA19197 NA18921
L2b2a,NA19253
L2b3,
L2b3a,NA19248 NA18870
L2b3b,
L2b3c,NA19247
L2c,
L2c1,
L2c1a,
L2c2,NA19229
L2c2a,
L2c2a1,
L2c2b,
L2c2b1,
L2c2b1a,NA18517
L2c2b1b,
L2c2b2,
L2c3,
L2c3a,
L2c4,
L2c5,NA20127 NA19835
L2d,
L2d+16129,
L2d1,
L2d1a,
L2e,
L2e1,
L2e1a,NA19146 NA19108
L3'4'6,
L6,
L6a,
L6b,
L3'4,
L4,
L4a,
L4a1,
L4a1a,
L4a2,
L4b,
L4b1,NA19383
L4b1a,
L4b2,
L4b2a,
L4b2a1,
L4b2a2,NA19359
L4b2a2a,
L4b2a2b,NA19463
L4b2a2c,NA19453 NA19445
L4b2b,NA19259
L4b2b1,
L3,
L3a,
L3a1,
L3a1a,
L3a1b,
L3a+709,
L3a2,NA19438
L3a2a,
L3b'f,
L3b,
L3b1,
L3b1a,
L3b1a1,NA18871
L3b1a1a,NA19475 NA19473 NA19472 NA19468 NA19456 NA19451 NA19439 NA19436 NA19429 NA19428 NA19397 NA19396 NA19380 NA19375 NA19372 NA19360 NA19355 NA19352 NA19347 NA19346 NA19338 NA19334 NA19331 NA19324 NA19321 NA19320 NA19310 NA19307 NA19044 NA19036 NA19026 NA19022
L3b1a2,
L3b1a3,
L3b1a4,NA19124
L3b1a5,
L3b1a5a,NA18907 NA18865
L3b1a+152,
L3b1a6,
L3b1a+@16124,
L3b1a7,
L3b1a7a,NA19143 NA19119
L3b1a8,NA19222 NA19181 NA19175
L3b1a9,
L3b1a9a,
L3b1a10,
L3b1a11,
L3b1b,
L3b1b1,
L3b2,
L3b2a,NA19107
L3b2b,NA18916
L3b3,NA18858
L3f,
L3f1,
L3f1a,
L3f1a1,
L3f1b,
L3f1b+16292,
L3f1b1,
L3f1b1a,NA19901 NA19182 NA18881
L3f1b1a1,
L3f1b2,
L3f1b2a,
L3f1b+16292+150,
L3f1b3,NA19213
L3f1b4,
L3f1b4a,
L3f1b4a1,
L3f1b4b,NA18520
L3f1b4c,NA19159
L3f1b5,
L3f2,
L3f2a,
L3f2a1,
L3f2a1a,
L3f2b,
L3f3,
L3f3a,
L3f3b,
L3c'd,
L3c,
L3d,
L3d1'2'3'4'5'6,
L3d1,NA19220
L3d1a,NA19316
L3d1a1'2,
L3d1a1,
L3d1a1a,
L3d1a1a1,NA19030
L3d1a1b,NA18867
