accession,seq_tech,geo_origin
NA19655,Illumina,"Los Angeles, California"
NA19654,Illumina,"Los Angeles, California"
HG00262,Illumina,"England / Scotland"
HG00245,Illumina,"England / Scotland"
HG00258,Illumina,"England / Scotland"
HG00119,Illumina,"England / Scotland"
HG00264,Illumina,"England / Scotland"
HG00124,Illumina,NA
HG00123,Illumina,"England / Scotland"
HG00159,Illumina,"England / Scotland"
HG00117,Illumina,"England / Scotland"
HG00120,Illumina,"England / Scotland"
NA19651,Illumina,"Los Angeles, California"
NA19649,Illumina,"Los Angeles, California"
NA19648,Illumina,"Los Angeles, California"
NA19652,Illumina,"Los Angeles, California"
HG00358,ABI_SOLID,Finland
HG00356,ABI_SOLID,Finland
HG00350,ABI_SOLID,Finland
HG00355,ABI_SOLID,Finland
HG00235,ABI_SOLID,"England / Scotland"
HG00349,ABI_SOLID,Finland
NA20363,ABI_SOLID,NA
NA19675,Illumina,NA
NA19676,Illumina,"Los Angeles, California"
NA19679,Illumina,"Los Angeles, California"
NA19716,Illumina,"Los Angeles, California"
NA19717,Illumina,"Los Angeles, California"
NA19719,Illumina,"Los Angeles, California"
NA19681,Illumina,"Los Angeles, California"
NA19682,Illumina,"Los Angeles, California"
NA20346,Illumina,"Southwest, US"
NA20341,Illumina,NA
NA20291,Illumina,"Southwest, US"
NA20294,Illumina,"Southwest, US"
NA20317,Illumina,"Southwest, US"
NA20126,Illumina,"Southwest, US"
NA20278,Illumina,"Southwest, US"
NA20314,Illumina,"Southwest, US"
NA20344,Illumina,NA
NA20281,Illumina,"Southwest, US"
NA20287,Illumina,"Southwest, US"
NA20356,Illumina,"Southwest, US"
NA20296,Illumina,"Southwest, US"
NA20332,Illumina,"Southwest, US"
NA20276,Illumina,"Southwest, US"
NA20282,Illumina,"Southwest, US"
NA19985,Illumina,NA
NA20336,Illumina,NA
NA20322,Illumina,NA
NA20289,Illumina,"Southwest, US"
NA20299,Illumina,"Southwest, US"
NA20334,Illumina,"Southwest, US"
NA20127,Illumina,"Southwest, US"
NA20342,Illumina,"Southwest, US"
NA20340,Illumina,"Southwest, US"
NA20348,Illumina,"Southwest, US"
HG00096,Illumina,"England / Scotland"
HG00127,Illumina,"England / Scotland"
HG00103,Illumina,"England / Scotland"
HG00233,Illumina,"England / Scotland"
HG01098,Illumina,Puerto Rico
HG01097,Illumina,Puerto Rico
