accession,seq_tech,geo_origin
NA19385,Illumina,"Webuye, Kenya"
NA19390,Illumina,"Webuye, Kenya"
NA19391,Illumina,"Webuye, Kenya"
NA19393,Illumina,"Webuye, Kenya"
NA19394,Illumina,"Webuye, Kenya"
NA19395,Illumina,"Webuye, Kenya"
NA19397,Illumina,"Webuye, Kenya"
NA19398,Illumina,NA
NA19399,Illumina,"Webuye, Kenya"
NA19401,Illumina,"Webuye, Kenya"
NA19404,Illumina,"Webuye, Kenya"
NA19428,Illumina,"Webuye, Kenya"
NA20532,Illumina,"Toscani, Italy"
NA20814,Illumina,"Toscani, Italy"
NA20536,Illumina,"Toscani, Italy"
HG00565,Illumina,China
HG00560,Illumina,China
HG00577,Illumina,NA
HG00578,Illumina,NA
HG00592,Illumina,China
HG00593,Illumina,China
HG00596,Illumina,China
HG00404,Illumina,China
HG00610,Illumina,China
HG00611,Illumina,China
HG00625,Illumina,China
HG00635,Illumina,NA
HG00634,Illumina,China
HG00446,ABI_SOLID,China
HG00406,ABI_SOLID,China
HG00407,ABI_SOLID,China
HG00445,ABI_SOLID,China
HG00452,ABI_SOLID,China
HG00457,ABI_SOLID,China
NA20526,Illumina,NA
NA19444,Illumina,NA
NA19434,Illumina,"Webuye, Kenya"
NA19456,Illumina,"Webuye, Kenya"
NA18941,Illumina,"Tokyo, Japan"
NA19082,Illumina,"Tokyo, Japan"
HG00171,Illumina,Finland
HG00174,Illumina,Finland
HG00190,Illumina,Finland
HG00188,Illumina,Finland
HG00189,Illumina,Finland
HG00176,Illumina,Finland
HG00270,Illumina,NA
HG00178,Illumina,Finland
HG00181,Illumina,Finland
HG00266,Illumina,Finland
HG00267,Illumina,Finland
HG00173,Illumina,Finland
HG00177,Illumina,Finland
HG00180,Illumina,Finland
HG00183,Illumina,Finland
HG00179,Illumina,Finland
HG00377,Illumina,NA
HG00380,Illumina,Finland
HG00306,Illumina,Finland
HG00311,Illumina,Finland
HG00312,Illumina,NA
HG00357,Illumina,Finland
HG00361,Illumina,Finland
HG00559,Illumina,China
HG00566,Illumina,China
HG00403,Illumina,China
HG00626,Illumina,China
HG00628,Illumina,China
HG00629,Illumina,China
HG00151,Illumina,"England / Scotland"
HG00153,Illumina,NA
HG00156,Illumina,NA
HG00098,Illumina,NA
HG00152,Illumina,NA
HG00106,Illumina,"England / Scotland"
HG00242,Illumina,"England / Scotland"
HG00114,Illumina,"England / Scotland"
HG00150,Illumina,"England / Scotland"
HG00100,Illumina,"England / Scotland"
HG00142,Illumina,"England / Scotland"
HG00239,Illumina,"England / Scotland"
HG00149,Illumina,"England / Scotland"
HG00141,Illumina,"England / Scotland"
HG00147,Illumina,NA
HG00112,Illumina,"England / Scotland"
HG00126,Illumina,"England / Scotland"
HG00231,Illumina,"England / Scotland"
HG00244,Illumina,"England / Scotland"
HG00265,Illumina,"England / Scotland"
HG00143,Illumina,"England / Scotland"
HG00144,Illumina,NA
HG00148,Illumina,"England / Scotland"
HG00118,Illumina,"England / Scotland"
HG00243,Illumina,"England / Scotland"
HG00122,Illumina,"England / Scotland"
HG00247,Illumina,NA
NA18634,Illumina,"Beijing, China"
NA18625,Illumina,"Beijing, China"
HG00553,Illumina,Puerto Rico
HG00637,Illumina,Puerto Rico
HG00638,Illumina,Puerto Rico
HG00554,Illumina,Puerto Rico
HG00640,Illumina,Puerto Rico
NA12273,Illumina,"Utah, USA"
NA12272,Illumina,"Utah, USA"
NA12718,Illumina,"Utah, USA"
HG00367,Illumina,Finland
HG00182,Illumina,Finland
HG00185,Illumina,Finland
HG00186,Illumina,Finland
HG00187,Illumina,Finland
HG00272,Illumina,Finland
HG00369,Illumina,Finland
HG00373,Illumina,Finland
HG00269,Illumina,Finland
HG00368,Illumina,Finland
NA20798,Illumina,"Toscani, Italy"
NA19461,Illumina,"Webuye, Kenya"
NA19312,Illumina,"Webuye, Kenya"
NA19453,Illumina,NA
HG00366,Illumina,Finland
HG00308,Illumina,Finland
HG00372,Illumina,Finland
NA20357,ABI_SOLID,"Southwest, US"
NA20359,ABI_SOLID,"Southwest, US"
NA18528,ABI_SOLID,"Beijing, China"
NA18531,ABI_SOLID,"Beijing, China"
NA19352,ABI_SOLID,NA
NA19351,ABI_SOLID,"Webuye, Kenya"
NA19175,ABI_SOLID,"Ibadan, Nigeria"
NA19753,ABI_SOLID,NA
NA19764,ABI_SOLID,"Los Angeles, California"
NA19374,Illumina,"Webuye, Kenya"
NA19380,Illumina,"Webuye, Kenya"
NA19373,Illumina,NA
NA19396,Illumina,NA
NA19403,Illumina,"Webuye, Kenya"
HG00418,Illumina,NA
HG00419,Illumina,China
HG00421,Illumina,China
HG00422,Illumina,China
HG00427,Illumina,NA
HG00428,Illumina,China
HG00436,Illumina,China
HG00437,Illumina,China
HG00442,Illumina,China
HG00443,Illumina,China
HG00448,Illumina,China
HG00449,Illumina,China
HG00472,Illumina,China
HG00473,Illumina,China
HG00475,Illumina,China
HG00476,Illumina,China
HG00478,Illumina,China
HG00479,Illumina,China
HG00512,Illumina,NA
HG00513,Illumina,China
HG00524,Illumina,China
HG00525,Illumina,China
HG00530,Illumina,China
HG00531,Illumina,China
HG00536,Illumina,China
HG00537,Illumina,China
HG00542,Illumina,China
HG00543,Illumina,China
HG00556,Illumina,China
HG00557,Illumina,China
HG00125,Illumina,"England / Scotland"
HG00136,Illumina,"England / Scotland"
HG00137,Illumina,"England / Scotland"
HG00138,Illumina,"England / Scotland"
HG00139,Illumina,"England / Scotland"
HG00140,Illumina,"England / Scotland"
HG00232,Illumina,"England / Scotland"
HG00236,Illumina,"England / Scotland"
HG00237,Illumina,"England / Scotland"
HG00249,Illumina,NA
HG00252,Illumina,"England / Scotland"
HG00253,Illumina,"England / Scotland"
HG00254,Illumina,"England / Scotland"
HG00256,Illumina,"England / Scotland"
HG00257,Illumina,"England / Scotland"
HG00259,Illumina,"England / Scotland"
HG00260,Illumina,"England / Scotland"
HG00261,Illumina,"England / Scotland"
HG00263,Illumina,"England / Scotland"
HG00268,Illumina,Finland
HG00271,Illumina,Finland
HG00273,Illumina,Finland
HG00309,Illumina,Finland
HG00313,Illumina,Finland
HG00315,Illumina,Finland
HG00318,Illumina,Finland
HG00319,Illumina,Finland
HG00320,Illumina,Finland
HG00321,Illumina,Finland
HG00323,Illumina,Finland
HG00327,Illumina,Finland
HG00335,Illumina,Finland
HG00336,Illumina,Finland
HG00337,Illumina,Finland
HG00338,Illumina,Finland
HG00339,Illumina,Finland
HG00342,Illumina,Finland
HG00343,Illumina,Finland
HG00344,Illumina,Finland
HG00345,Illumina,Finland
HG00346,Illumina,Finland
HG00353,Illumina,Finland
NA19081,Illumina,"Tokyo, Japan"
NA19080,Illumina,"Tokyo, Japan"
NA20766,Illumina,"Toscani, Italy"
NA19468,Illumina,"Webuye, Kenya"
NA19470,Illumina,NA
NA19431,Illumina,"Webuye, Kenya"
NA19430,Illumina,"Webuye, Kenya"
HG01356,Illumina,"Medellin, Colombia"
HG01357,Illumina,"Medellin, Colombia"
HG01377,Illumina,"Medellin, Colombia"
HG01378,Illumina,"Medellin, Colombia"
HG01383,Illumina,"Medellin, Colombia"
HG01384,Illumina,"Medellin, Colombia"
HG00375,Illumina,Finland
HG00154,Illumina,"England / Scotland"
HG00246,Illumina,"England / Scotland"
HG00250,Illumina,"England / Scotland"
HG00251,Illumina,"England / Scotland"
HG00274,Illumina,Finland
HG00275,Illumina,Finland
HG00276,Illumina,Finland
HG00277,Illumina,Finland
HG00278,Illumina,Finland
HG00280,Illumina,Finland
HG00281,Illumina,Finland
HG00282,Illumina,Finland
HG00284,Illumina,Finland
HG00285,Illumina,Finland
HG00310,Illumina,Finland
HG00324,Illumina,Finland
HG00325,Illumina,Finland
HG00326,Illumina,Finland
HG00329,Illumina,Finland
HG00330,Illumina,Finland
HG00331,Illumina,Finland
HG01051,Illumina,Puerto Rico
HG01052,Illumina,Puerto Rico
HG01060,Illumina,Puerto Rico
HG01061,Illumina,Puerto Rico
HG01069,Illumina,Puerto Rico
HG01070,Illumina,Puerto Rico
HG01072,Illumina,Puerto Rico
HG01073,Illumina,Puerto Rico
HG01082,Illumina,Puerto Rico
HG01083,Illumina,Puerto Rico
HG01334,Illumina,"England / Scotland"
HG00101,ABI_SOLID,"England / Scotland"
HG00113,ABI_SOLID,"England / Scotland"
HG00121,ABI_SOLID,"England / Scotland"
HG00110,ABI_SOLID,"England / Scotland"
HG00341,ABI_SOLID,Finland
HG00383,ABI_SOLID,Finland
HG00381,ABI_SOLID,Finland
HG00376,ABI_SOLID,Finland
HG01104,ABI_SOLID,Puerto Rico
HG00332,ABI_SOLID,Finland
HG00378,ABI_SOLID,Finland
HG00382,ABI_SOLID,Finland
HG01105,ABI_SOLID,Puerto Rico
HG01085,ABI_SOLID,Puerto Rico
HG00108,Illumina,"England / Scotland"
HG00111,Illumina,"England / Scotland"
HG00328,Illumina,Finland
HG00334,Illumina,Finland
HG01107,Illumina,Puerto Rico
HG01108,Illumina,Puerto Rico
HG01170,Illumina,Puerto Rico
HG01171,Illumina,Puerto Rico
HG01173,Illumina,Puerto Rico
HG01174,Illumina,Puerto Rico
HG01350,Illumina,"Medellin, Colombia"
HG01351,Illumina,"Medellin, Colombia"
HG01353,Illumina,"Medellin, Colombia"
HG01354,Illumina,"Medellin, Colombia"
HG01365,Illumina,"Medellin, Colombia"
HG01366,Illumina,"Medellin, Colombia"
HG01374,Illumina,"Medellin, Colombia"
HG01375,Illumina,"Medellin, Colombia"
HG01389,Illumina,"Medellin, Colombia"
HG01390,Illumina,"Medellin, Colombia"
HG00102,ABI_SOLID,"England / Scotland"
HG00134,ABI_SOLID,NA
HG00109,ABI_SOLID,"England / Scotland"
HG00135,ABI_SOLID,NA
HG00238,ABI_SOLID,"England / Scotland"
HG00240,ABI_SOLID,"England / Scotland"
HG00255,ABI_SOLID,"England / Scotland"
HG00359,ABI_SOLID,NA
HG01257,ABI_SOLID,"Medellin, Colombia"
HG01259,ABI_SOLID,"Medellin, Colombia"
HG00360,ABI_SOLID,Finland
NA18606,Illumina,"Beijing, China"
NA18635,Illumina,"Beijing, China"
NA18637,Illumina,"Beijing, China"
HG01133,Illumina,"Medellin, Colombia"
HG01134,Illumina,"Medellin, Colombia"
HG01136,Illumina,"Medellin, Colombia"
HG01125,Illumina,"Medellin, Colombia"
HG01137,Illumina,"Medellin, Colombia"
HG01149,Illumina,"Medellin, Colombia"
HG01124,Illumina,"Medellin, Colombia"
HG01140,Illumina,"Medellin, Colombia"
HG01148,Illumina,"Medellin, Colombia"
HG00362,ABI_SOLID,Finland
HG00364,ABI_SOLID,Finland
HG00384,ABI_SOLID,Finland
HG00145,Illumina,"England / Scotland"
NA19089,Illumina,"Tokyo, Japan"
NA19320,Illumina,"Webuye, Kenya"
NA19475,Illumina,"Webuye, Kenya"
NA18864,Illumina,"Ibadan, Nigeria"
NA18865,Illumina,"Ibadan, Nigeria"
NA18876,Illumina,"Ibadan, Nigeria"
NA18877,Illumina,"Ibadan, Nigeria"
NA18881,Illumina,"Ibadan, Nigeria"
NA18915,Illumina,"Ibadan, Nigeria"
NA19037,Illumina,"Webuye, Kenya"
NA19042,Illumina,"Webuye, Kenya"
NA20511,Illumina,"Toscani, Italy"
NA20762,Illumina,"Toscani, Italy"
NA20764,Illumina,"Toscani, Italy"
NA12812,LS454,"Utah, USA"
NA12814,LS454,"Utah, USA"
NA12815,LS454,"Utah, USA"
NA12872,LS454,"Utah, USA"
NA12874,LS454,"Utah, USA"
NA12873,LS454,"Utah, USA"
NA06994,Illumina,"Utah, USA"
NA18968,Illumina,"Tokyo, Japan"
NA12813,Illumina,"Utah, USA"
NA19200,Illumina,"Ibadan, Nigeria"
NA18498,Illumina,"Ibadan, Nigeria"
NA18522,Illumina,"Ibadan, Nigeria"
NA18856,Illumina,"Ibadan, Nigeria"
NA11920,Illumina,"Utah, USA"
NA12155,Illumina,"Utah, USA"
NA12003,Illumina,"Utah, USA"
NA11992,Illumina,"Utah, USA"
NA18489,Illumina,"Ibadan, Nigeria"
NA19102,Illumina,"Ibadan, Nigeria"
NA18519,Illumina,"Ibadan, Nigeria"
NA18960,Illumina,"Tokyo, Japan"
NA12045,Illumina,"Utah, USA"
NA11830,Illumina,"Utah, USA"
NA11994,Illumina,"Utah, USA"
NA11918,Illumina,"Utah, USA"
NA18961,Illumina,"Tokyo, Japan"
NA07346,Illumina,NA
NA11831,Illumina,"Utah, USA"
NA06986,Illumina,"Utah, USA"
NA11832,Illumina,"Utah, USA"
NA11829,Illumina,"Utah, USA"
NA18516,Illumina,"Ibadan, Nigeria"
NA18953,Illumina,"Tokyo, Japan"
NA18510,Illumina,"Ibadan, Nigeria"
NA18853,Illumina,"Ibadan, Nigeria"
NA18871,Illumina,"Ibadan, Nigeria"
NA18486,Illumina,"Ibadan, Nigeria"
NA18499,Illumina,"Ibadan, Nigeria"
NA18967,Illumina,"Tokyo, Japan"
NA18959,Illumina,"Tokyo, Japan"
NA18964,Illumina,"Tokyo, Japan"
NA19184,LS454,"Ibadan, Nigeria"
NA18975,Illumina,"Tokyo, Japan"
NA19119,Illumina,"Ibadan, Nigeria"
NA18976,Illumina,"Tokyo, Japan"
NA19204,Illumina,"Ibadan, Nigeria"
NA18972,Illumina,"Tokyo, Japan"
NA18974,Illumina,"Tokyo, Japan"
NA19159,Illumina,"Ibadan, Nigeria"
NA18969,LS454,"Tokyo, Japan"
NA19160,Illumina,"Ibadan, Nigeria"
NA19153,Illumina,"Ibadan, Nigeria"
NA19207,Illumina,"Ibadan, Nigeria"
NA19131,Illumina,"Ibadan, Nigeria"
NA18971,Illumina,"Tokyo, Japan"
NA19144,Illumina,"Ibadan, Nigeria"
NA19209,Illumina,"Ibadan, Nigeria"
NA19098,Illumina,"Ibadan, Nigeria"
NA19152,Illumina,"Ibadan, Nigeria"
NA18981,Illumina,"Tokyo, Japan"
NA19116,Illumina,"Ibadan, Nigeria"
NA18520,Illumina,"Ibadan, Nigeria"
NA19172,Illumina,"Ibadan, Nigeria"
NA07347,Illumina,"Utah, USA"
NA11840,LS454,"Utah, USA"
NA18979,LS454,"Tokyo, Japan"
NA19181,LS454,NA
NA18992,LS454,"Tokyo, Japan"
NA18993,LS454,"Tokyo, Japan"
NA18994,LS454,"Tokyo, Japan"
NA18997,LS454,"Tokyo, Japan"
NA18998,LS454,"Tokyo, Japan"
NA19001,LS454,"Tokyo, Japan"
NA06984,LS454,"Utah, USA"
NA12154,Illumina,"Utah, USA"
NA11919,Illumina,"Utah, USA"
NA19065,Illumina,"Tokyo, Japan"
NA12005,Illumina,"Utah, USA"
NA17969,LS454,NA
NA19350,LS454,"Webuye, Kenya"
NA19328,LS454,"Webuye, Kenya"
NA19027,LS454,"Webuye, Kenya"
NA19028,LS454,"Webuye, Kenya"
NA19334,LS454,"Webuye, Kenya"
NA19146,LS454,"Ibadan, Nigeria"
NA19149,LS454,"Ibadan, Nigeria"
NA19317,LS454,"Webuye, Kenya"
NA19331,LS454,"Webuye, Kenya"
NA18957,LS454,"Tokyo, Japan"
NA19150,LS454,NA
NA19121,LS454,"Ibadan, Nigeria"
NA19122,LS454,NA
NA12760,ABI_SOLID,"Utah, USA"
NA18970,LS454,"Tokyo, Japan"
NA19141,LS454,"Ibadan, Nigeria"
NA19143,LS454,"Ibadan, Nigeria"
NA18939,LS454,"Tokyo, Japan"
NA18955,LS454,NA
NA18157,LS454,NA
NA18160,LS454,NA
NA18161,LS454,NA
NA19324,LS454,"Webuye, Kenya"
NA17971,LS454,NA
NA19031,LS454,"Webuye, Kenya"
NA17963,LS454,NA
NA17965,LS454,NA
NA17967,LS454,NA
NA19346,LS454,"Webuye, Kenya"
NA19347,LS454,"Webuye, Kenya"
NA19035,LS454,"Webuye, Kenya"
NA19041,LS454,"Webuye, Kenya"
NA17980,LS454,NA
NA17981,LS454,NA
NA17982,LS454,NA
NA17983,LS454,NA
NA17988,LS454,NA
NA18151,LS454,NA
NA18152,LS454,NA
NA18156,LS454,NA
NA18155,LS454,NA
NA18163,LS454,NA
NA18166,LS454,NA
NA17976,LS454,NA
NA18124,LS454,NA
NA18132,LS454,NA
NA18134,LS454,NA
NA18122,LS454,NA
NA18127,LS454,NA
NA18117,LS454,NA
NA12762,ABI_SOLID,"Utah, USA"
NA17962,LS454,NA
NA18146,LS454,NA
NA17977,LS454,NA
NA19046,LS454,NA
NA18115,LS454,NA
NA18108,LS454,NA
NA18130,LS454,NA
NA18103,LS454,NA
NA19473,LS454,"Webuye, Kenya"
NA18149,LS454,NA
NA18541,LS454,"Beijing, China"
NA18644,LS454,"Beijing, China"
NA18648,LS454,"Beijing, China"
NA17979,LS454,NA
NA18535,LS454,"Beijing, China"
NA19068,Illumina,"Tokyo, Japan"
NA18707,Illumina,NA
NA18950,Illumina,"Tokyo, Japan"
NA19000,Illumina,"Tokyo, Japan"
NA19213,Illumina,"Ibadan, Nigeria"
NA19058,Illumina,"Tokyo, Japan"
NA19064,Illumina,"Tokyo, Japan"
NA19067,Illumina,"Tokyo, Japan"
NA18908,Illumina,"Ibadan, Nigeria"
NA19247,Illumina,"Ibadan, Nigeria"
NA19059,Illumina,"Tokyo, Japan"
NA18488,Illumina,"Ibadan, Nigeria"
NA18487,Illumina,NA
NA18868,Illumina,"Ibadan, Nigeria"
NA19092,Illumina,"Ibadan, Nigeria"
NA18757,Illumina,"Beijing, China"
NA18867,Illumina,"Ibadan, Nigeria"
NA18745,Illumina,"Beijing, China"
NA18669,Illumina,NA
NA18702,Illumina,NA
NA07048,Illumina,"Utah, USA"
NA18164,Illumina,NA
NA18740,Illumina,"Beijing, China"
NA18647,Illumina,"Beijing, China"
NA18747,Illumina,"Beijing, China"
NA19062,Illumina,"Tokyo, Japan"
NA19060,Illumina,"Tokyo, Japan"
NA19236,Illumina,"Ibadan, Nigeria"
NA19070,Illumina,"Tokyo, Japan"
NA19130,Illumina,"Ibadan, Nigeria"
NA19007,Illumina,"Tokyo, Japan"
NA18999,Illumina,"Tokyo, Japan"
NA18685,Illumina,NA
NA18145,Illumina,NA
NA18692,Illumina,NA
NA18697,Illumina,NA
NA18694,Illumina,NA
NA18116,Illumina,NA
NA18123,Illumina,NA
NA18119,Illumina,NA
NA18985,Illumina,"Tokyo, Japan"
NA18986,Illumina,"Tokyo, Japan"
NA19248,Illumina,"Ibadan, Nigeria"
NA19235,Illumina,"Ibadan, Nigeria"
NA19057,Illumina,"Tokyo, Japan"
NA19063,Illumina,"Tokyo, Japan"
NA18640,Illumina,"Beijing, China"
NA18910,Illumina,"Ibadan, Nigeria"
NA19003,Illumina,"Tokyo, Japan"
NA19056,Illumina,"Tokyo, Japan"
NA19055,Illumina,"Tokyo, Japan"
NA18874,Illumina,"Ibadan, Nigeria"
NA18708,Illumina,NA
NA19012,Illumina,"Tokyo, Japan"
NA18642,Illumina,"Beijing, China"
NA18982,Illumina,"Tokyo, Japan"
NA18675,Illumina,NA
NA18113,Illumina,NA
NA18704,Illumina,NA
NA18689,Illumina,NA
NA18699,Illumina,NA
NA19551,Illumina,NA
NA20780,Illumina,NA
NA19563,Illumina,NA
NA19573,Illumina,NA
NA19565,Illumina,NA
NA19564,Illumina,NA
NA19552,Illumina,NA
NA20587,Illumina,"Toscani, Italy"
NA19553,Illumina,NA
NA19574,Illumina,NA
NA18691,Illumina,NA
NA18696,Illumina,NA
NA19572,Illumina,NA
NA19568,Illumina,NA
NA19548,Illumina,NA
NA18674,Illumina,NA
NA18983,Illumina,"Tokyo, Japan"
NA18984,Illumina,"Tokyo, Japan"
NA18645,Illumina,"Beijing, China"
NA19066,Illumina,"Tokyo, Japan"
NA19054,Illumina,"Tokyo, Japan"
NA19560,Illumina,NA
NA19561,Illumina,NA
NA19558,Illumina,NA
NA19556,Illumina,NA
NA19546,Illumina,NA
NA19570,Illumina,NA
NA18989,Illumina,"Tokyo, Japan"
NA18988,Illumina,"Tokyo, Japan"
NA19182,LS454,NA
NA19185,LS454,"Ibadan, Nigeria"
NA19214,LS454,"Ibadan, Nigeria"
NA18962,LS454,"Tokyo, Japan"
NA06989,LS454,"Utah, USA"
NA12058,LS454,"Utah, USA"
NA12340,LS454,"Utah, USA"
NA12341,LS454,"Utah, USA"
NA12342,LS454,"Utah, USA"
NA19118,LS454,"Ibadan, Nigeria"
NA19020,LS454,"Webuye, Kenya"
NA17987,LS454,NA
NA18133,LS454,NA
NA18106,LS454,NA
NA19471,LS454,"Webuye, Kenya"
NA18107,LS454,NA
NA19472,LS454,"Webuye, Kenya"
NA18763,LS454,NA
NA18764,LS454,NA
NA18767,LS454,NA
NA18771,LS454,NA
NA18580,LS454,NA
NA18583,LS454,NA
NA18649,LS454,NA
NA18739,LS454,NA
NA18741,LS454,NA
NA18753,LS454,NA
NA18755,LS454,NA
NA18760,LS454,NA
NA18743,LS454,NA
NA18756,LS454,NA
NA18758,LS454,NA
NA19030,LS454,"Webuye, Kenya"
NA17990,LS454,NA
NA18141,LS454,NA
NA19454,LS454,"Webuye, Kenya"
NA19095,LS454,"Ibadan, Nigeria"
