accession,pub_title,first_aut,pubmed_id,pub_date,geo_origin,asm_method,seq_tech
AB055387.1,Sequence and organization of the human mitochondrial genome.,Anderson S,7219534.0,04-1981,,,
AB626609.1,Mitochondrial DNA mutations regulate metastasis of human breast cancer cells,"Imanishi, H.",,,,,
AB626610.1,Mitochondrial DNA mutations regulate metastasis of human breast cancer cells,"Imanishi, H.",,,,,
AF346963.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,Australia,,
AF346964.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,Australia,,
AF346965.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,Australia,,
AF346966.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346967.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346969.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346970.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346971.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346972.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,China,,
AF346974.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346975.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346976.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346977.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346978.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346979.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346980.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346981.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346982.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346983.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346984.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346985.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346986.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346987.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346988.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346989.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346990.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346991.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346992.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346993.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346994.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346995.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346996.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346997.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346998.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346999.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347000.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347001.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347002.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347003.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347004.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347005.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347007.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347008.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347009.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347010.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347011.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347012.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347013.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347014.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347015.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF381981.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Mauritania,,
AF381982.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,"Spain: Canary Islands, Tenerife",,
AF381983.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381984.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381985.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381986.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381987.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381988.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381989.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco: Berber,,
AF381990.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco: Berber,,
AF381991.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Mauritania,,
AF381992.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Mauritania,,
AF381993.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Mauritania,,
AF381994.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Mauritania,,
AF381995.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Jordan,,
AF381996.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Jordan,,
AF381997.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Jordan,,
AF381998.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Jordan,,
AF381999.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Jordan,,
AF382000.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Jordan,,
AF382001.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Spain: Maragato,,
AF382002.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Spain: Maragato,,
AF382003.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Spain: Maragato,,
AF382004.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Spain: Leon,,
AF382005.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Spain: Leon,,
AF382006.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Spain: Leon,,
AF382007.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Spain: Leon,,
AF382008.3,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF382009.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,"Spain: Canary Islands, Tenerife",,
AF382010.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,"Spain: Canary Islands, Hierro",,
AF382011.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Spain: Andalusia,,
AF382012.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Philippines,,
AF382013.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,India,,
AJ842744.1,Traces of archaic mitochondrial lineages persist in Austronesian-speaking Formosan populations.,Trejaut JA,15984912.0,08-2005,,,
AJ842745.1,Traces of archaic mitochondrial lineages persist in Austronesian-speaking Formosan populations.,Trejaut JA,15984912.0,08-2005,,,
AJ842746.1,Traces of archaic mitochondrial lineages persist in Austronesian-speaking Formosan populations.,Trejaut JA,15984912.0,08-2005,,,
AJ842747.1,Traces of archaic mitochondrial lineages persist in Austronesian-speaking Formosan populations.,Trejaut JA,15984912.0,08-2005,,,
AJ842748.1,Traces of archaic mitochondrial lineages persist in Austronesian-speaking Formosan populations.,Trejaut JA,15984912.0,08-2005,,,
AJ842749.1,Traces of archaic mitochondrial lineages persist in Austronesian-speaking Formosan populations.,Trejaut JA,15984912.0,08-2005,,,
AJ842750.1,Traces of archaic mitochondrial lineages persist in Austronesian-speaking Formosan populations.,Trejaut JA,15984912.0,08-2005,,,
AJ842751.1,Traces of archaic mitochondrial lineages persist in Austronesian-speaking Formosan populations.,Trejaut JA,15984912.0,08-2005,,,
AM263177.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263178.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263179.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263180.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263181.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263182.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263183.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263184.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263185.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263186.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263187.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263188.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263189.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263190.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM263191.1,"Origin and expansion of haplogroup H, the dominant human mitochondrial DNA lineage in West Eurasia: the Near Eastern and Caucasian perspective.",Roostalu U,17099056.0,02-2007,,,
AM711903.1,Mitogenomic analyses of caniform relationships.,Arnason U,17919938.0,12-2007,,,
AM711904.1,Mitogenomic analyses of caniform relationships.,Arnason U,17919938.0,12-2007,,,
AP008249.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008250.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008251.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008252.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008253.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008254.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008255.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008256.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008257.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008258.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008259.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008260.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008261.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008262.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008263.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008264.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008265.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008266.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008267.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008268.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008269.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008270.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008271.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008272.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008273.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008274.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008275.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008276.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008277.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008278.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008279.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008280.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008281.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008282.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008283.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008284.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008285.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008286.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008287.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008288.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008289.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008290.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008291.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008292.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008293.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008294.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008295.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008296.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008297.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008298.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008299.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008300.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008301.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008302.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008303.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008304.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008305.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008306.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008307.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008308.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008309.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008310.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008311.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008312.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008313.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008314.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008315.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008316.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008317.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008318.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008319.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008320.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008321.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008322.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008323.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008324.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008325.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008326.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008327.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008328.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008329.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008330.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008331.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008332.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008333.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008334.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008335.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008336.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008337.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008338.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008339.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008340.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008341.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008342.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008343.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008344.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008345.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008346.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008347.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008348.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008349.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008350.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008351.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008352.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008353.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008354.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008355.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008356.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008357.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008358.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008359.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008360.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008361.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008362.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008363.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008364.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008365.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008366.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008367.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008368.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008369.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008370.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008371.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
AP008372.1,Mitochondrial genome variation in eastern Asia and the peopling of Japan.,Tanaka M,15466285.0,10-2004,Japan,,
