id,technology,country,population
NA19238,ILLUMINA,Africa,Yoruba in Ibadan, Nigeria
NA19239,ILLUMINA,Africa,Yoruba in Ibadan, Nigeria
NA18550,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18570,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18582,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18558,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18576,ILLUMINA,NA,NA
NA18638,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18593,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18542,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18537,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18592,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18547,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18545,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18603,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18562,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18566,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18532,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18579,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18573,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18609,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18608,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18552,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18571,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18605,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA12234,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA18944,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA07000,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA18973,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA07357,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA12776,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA18511,ILLUMINA,Africa,Yoruba in Ibadan, Nigeria
NA12414,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA19005,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA18952,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA18980,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA12043,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA18943,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA18947,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA12828,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA18577,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18563,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18561,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18572,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18555,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA18526,ILLUMINA,East Asia,Han Chinese in Beijing, China
NA19201,ABI_SOLID,Africa,Yoruba in Ibadan, Nigeria
NA19171,ABI_SOLID,Africa,Yoruba in Ibadan, Nigeria
NA18912,ABI_SOLID,Africa,Yoruba in Ibadan, Nigeria
NA19137,ABI_SOLID,Africa,Yoruba in Ibadan, Nigeria
NA19210,ABI_SOLID,Africa,Yoruba in Ibadan, Nigeria
NA18504,ABI_SOLID,Africa,Yoruba in Ibadan, Nigeria
NA18870,ABI_SOLID,Africa,Yoruba in Ibadan, Nigeria
NA07051,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA10847,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA12249,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA12716,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA12717,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA12750,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA12751,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA12761,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA10851,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA18916,ILLUMINA,Africa,Yoruba in Ibadan, Nigeria
NA18951,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA18965,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA18861,ILLUMINA,Africa,Yoruba in Ibadan, Nigeria
NA18505,ILLUMINA,Africa,Yoruba in Ibadan, Nigeria
NA12044,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA18948,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA19225,ILLUMINA,Africa,Yoruba in Ibadan, Nigeria
NA18942,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA18858,ILLUMINA,Africa,Yoruba in Ibadan, Nigeria
NA18956,ILLUMINA,East Asia,Japanese in Tokyo, Japan
NA18502,ILLUMINA,Africa,Yoruba in Ibadan, Nigeria
NA12004,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA12287,ILLUMINA,Europe,Utah residents with Northern and Western European ancestry
NA19108,ILLUMINA,Africa,Yoruba in Ibadan, Nigeria
