accession,seq_tech,geo_origin,source,asm_method,pub_title,first_aut,pubmed_id,pub_date
NA12004,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12287,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA19108,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA11881,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12749,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12144,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA11993,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18508,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19099,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19257,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18523,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA11894,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA19190,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA11931,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12006,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18949,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA12156,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA06985,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA07037,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12763,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12878,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA19138,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18907,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19129,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19114,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18517,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19147,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18909,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19093,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18501,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA11995,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
