accession,seq_tech,geo_origin,source,asm_method,pub_title,first_aut,pubmed_id,pub_date
AY714034.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714035.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714036.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714037.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714038.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714039.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714040.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714041.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714042.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714043.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714044.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714045.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714046.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714047.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714048.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714049.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY714050.1,,,NCBI,,"Phylogeny of mitochondrial DNA macrohaplogroup N in India, based on complete sequencing: implications for the peopling of South Asia.",Palanichamy MG,15467980.0,12-2004
AY738940.1,,Pakistan,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738941.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738942.1,,Israel,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738943.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738944.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738945.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738946.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738947.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738948.1,,Spain,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738949.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738950.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738951.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738952.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738953.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738954.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738955.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738956.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738957.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738958.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738959.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738960.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738961.1,,Iraq,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738962.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738963.1,,Spain,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738964.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738965.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738966.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738967.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738968.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738969.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738970.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738971.1,,Georgia,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738972.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738973.1,,Egypt,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738974.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738975.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738976.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738977.1,,Iraq,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738978.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738979.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738980.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738981.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738982.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738983.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738984.1,,Spain,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738985.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738986.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738987.1,,Spain,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738988.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738989.1,,Spain,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738990.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738991.1,,Spain,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738992.1,,Georgia,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738993.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738994.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738995.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738996.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738997.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738998.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY738999.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY739000.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY739001.1,,Italy,NCBI,,The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool.,Achilli A,15382008.0,11-2004
AY882379.1,,Pakistan,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882380.1,,Pakistan,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882381.1,,Pakistan,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882382.1,,Spain,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882383.1,,Yemen,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882384.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882385.2,,Yemen,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882386.1,,Spain,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882387.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882388.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882389.1,,Ethiopia,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882390.1,,Pakistan,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882391.2,,Pakistan,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882392.1,,Spain,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882393.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882394.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882395.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882396.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882397.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882398.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882399.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882400.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882401.1,,Spain,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882402.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882403.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882404.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882405.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882406.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882407.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882408.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882409.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882410.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882411.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882412.1,,,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882413.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882414.1,,Spain,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882415.1,,Italy,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882416.1,,Ethiopia,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY882417.1,,Spain,NCBI,,Saami and Berbers--an unexpected mitochondrial DNA link.,Achilli A,15791543.0,05-2005
AY922253.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922254.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922255.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922256.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922257.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922258.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922259.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922260.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922261.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922262.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922263.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922264.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922265.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922266.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922267.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922268.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922269.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922270.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922271.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922272.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922273.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922274.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922275.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922276.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922277.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922278.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922279.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922280.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922281.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922282.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922283.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922284.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922285.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922286.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922287.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922288.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922289.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922290.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922291.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922292.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922293.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922294.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922295.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922296.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922297.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922298.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922299.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922300.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922301.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922302.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922303.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922304.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922305.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922306.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922307.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY922308.1,,,NCBI,,The dazzling array of basal branches in the mtDNA macrohaplogroup M from India as inferred from complete genomes.,Sun C,16361303.0,03-2006
AY950286.1,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
AY950287.1,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
AY950288.1,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
AY950289.2,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
AY950290.1,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
AY950291.2,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
AY950292.2,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
AY950293.2,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
AY950294.2,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
AY950295.2,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
AY950296.2,,,NCBI,,Reconstructing the origin of Andaman Islanders.,Thangaraj K,15890876.0,05-2005
